repository_language,created_month,repos_created
null,2013-11,120193
Objective-C,2013-11,17
CSS,2013-11,97
Clojure,2013-11,2
PHP,2013-11,17
Ruby,2013-11,32
Java,2013-11,27
null,2013-10,375492
Shell,2013-10,26
Python,2013-10,113
JavaScript,2013-10,236
CSS,2013-10,318
Ruby,2013-10,219
Objective-C,2013-10,97
C++,2013-10,58
null,2013-06,340840
Ruby,2013-06,33
null,2013-01,261928
null,2012-12,214623
Ruby,2012-12,74
Objective-C,2013-01,49
JavaScript,2013-01,67
PHP,2013-01,24
Ruby,2013-01,33
null,2013-04,303427
Objective-C,2013-04,66
Java,2013-04,76
C,2013-04,27
Python,2013-04,43
null,2012-04,415707
Ruby,2012-04,207
JavaScript,2012-04,147
Java,2012-04,180
null,2012-07,425798
null,2012-06,357042
Python,2012-07,154
null,2013-02,258984
Groovy,2013-01,2
null,2012-09,261388
null,2012-08,499452
CoffeeScript,2013-10,10
PHP,2013-10,140
null,2013-07,328572
PHP,2013-07,30
Ruby,2013-07,80
Shell,2013-07,12
JavaScript,2013-07,192
Ruby,2013-02,31
JavaScript,2013-02,55
Objective-C,2013-02,65
null,2013-05,299825
PHP,2013-05,170
C#,2013-05,12
CoffeeScript,2013-05,12
Ruby,2012-07,198
VimL,2012-07,16
JavaScript,2012-08,314
PHP,2012-12,29
Python,2012-12,29
Perl,2013-01,4
C++,2013-06,9
PHP,2013-06,32
null,2012-10,225944
Java,2012-10,51
JavaScript,2012-10,54
Objective-C,2012-12,44
Objective-C,2013-06,35
Java,2013-06,23
Processing,2013-10,16
Ruby,2012-09,68
null,2012-05,438720
C++,2013-01,11
JavaScript,2012-12,65
C,2013-02,7
JavaScript,2013-05,232
Go,2013-05,7
Java,2013-02,32
Python,2012-04,108
Shell,2012-04,51
Scala,2012-04,12
null,2013-03,309913
null,2012-03,284205
Ruby,2012-03,225
C,2012-03,27
Python,2012-03,120
JavaScript,2012-03,141
Shell,2012-03,30
Objective-C,2012-03,90
null,2013-08,302095
Java,2013-08,75
JavaScript,2013-08,244
R,2013-08,12
Objective-C,2013-08,113
Ruby,2013-08,118
Python,2013-08,70
PHP,2013-08,85
Ruby,2012-05,219
Python,2012-05,69
JavaScript,2012-05,89
PHP,2012-03,87
Java,2012-03,126
Ruby,2012-06,141
Objective-C,2012-06,8
JavaScript,2012-07,116
null,2012-11,231303
R,2012-05,6
Java,2012-05,37
VimL,2012-05,45
Objective-C,2012-10,37
JavaScript,2013-03,72
C,2013-03,9
Ruby,2013-03,50
C++,2012-03,42
Java,2013-01,38
JavaScript,2013-04,178
Ruby,2013-04,95
Objective-C,2013-03,53
PHP,2012-05,33
Processing,2013-04,6
JavaScript,2013-06,60
null,2013-09,303956
R,2013-09,4
CSS,2013-09,103
PHP,2013-09,42
Objective-C,2013-09,103
Racket,2012-04,3
Java,2012-12,61
C#,2012-10,2
Ruby,2012-10,45
C,2013-10,57
Java,2013-10,116
Arduino,2013-10,16
Go,2012-06,2
Perl,2013-02,6
Scala,2012-06,10
JavaScript,2012-06,52
C++,2012-06,20
Groovy,2013-08,3
Haskell,2012-08,20
Ruby,2013-05,166
Java,2013-05,95
Shell,2012-05,15
CoffeeScript,2012-05,3
Ruby,2012-08,450
Java,2012-08,218
PHP,2012-08,177
C,2012-12,9
CSS,2013-08,110
Objective-C,2012-04,81
CoffeeScript,2012-04,15
C,2012-04,21
VimL,2012-04,45
Lua,2012-04,3
C#,2012-04,9
Matlab,2012-04,6
CoffeeScript,2012-03,6
Clojure,2013-09,3
C#,2013-09,18
Ruby,2013-09,111
C,2013-09,22
Groovy,2012-05,6
Elixir,2013-08,3
Perl,2013-07,10
CoffeeScript,2013-07,5
Haskell,2013-07,1
Python,2012-06,60
Java,2012-06,44
PHP,2013-02,19
Objective-C,2013-07,67
Python,2013-07,50
Assembly,2013-10,1
Pascal,2013-10,2
Processing,2013-08,3
C++,2013-08,21
Shell,2013-08,21
Python,2013-09,97
JavaScript,2013-09,206
Julia,2013-09,1
Java,2013-09,104
C++,2013-09,28
Haskell,2013-09,3
R,2013-07,4
Clojure,2012-04,15
ColdFusion,2013-05,1
Shell,2013-09,10
Emacs Lisp,2013-02,2
PHP,2012-06,35
C,2012-06,46
Shell,2012-06,20
CoffeeScript,2012-06,9
C,2012-10,5
Clojure,2013-01,2
Emacs Lisp,2012-07,16
Scala,2013-09,9
C++,2013-07,39
Java,2013-07,48
PHP,2012-10,28
Scala,2013-01,2
C++,2012-04,24
CoffeeScript,2013-09,7
Lua,2013-07,6
C++,2012-08,68
Python,2012-08,232
VimL,2012-08,50
Objective-C,2012-08,62
Shell,2012-08,68
Lua,2012-08,30
C,2012-08,48
Delphi,2012-08,8
Perl,2012-08,42
Groovy,2012-08,4
Python,2013-11,12
AppleScript,2013-09,2
C,2012-05,18
Python,2013-02,14
C++,2013-02,9
Perl,2013-09,13
C,2013-08,28
Perl,2013-06,8
C,2013-06,14
Shell,2013-06,7
Objective-C,2012-07,38
Java,2012-07,74
Scala,2012-07,24
PHP,2012-07,94
ColdFusion,2012-07,2
Emacs Lisp,2013-09,2
Objective-C,2013-05,59
Arduino,2013-07,8
C#,2012-08,30
Arduino,2012-08,6
Java,2013-03,38
PHP,2013-04,36
VimL,2012-06,12
Perl,2012-06,30
Go,2013-10,12
Perl,2013-10,14
C#,2012-06,8
Go,2012-04,6
PHP,2012-04,51
Go,2013-04,1
Perl,2013-08,10
Shell,2013-04,12
R,2013-04,4
Racket,2013-08,1
Clojure,2013-08,5
C,2013-07,6
Processing,2013-09,4
Arduino,2013-08,4
Scala,2013-08,2
PHP,2013-03,19
ColdFusion,2012-08,8
Scala,2012-08,24
Visual Basic,2012-08,8
Common Lisp,2012-08,4
Clojure,2012-08,6
