month_created	ActionScript	Ada	Apex	AppleScript	Arduino	ASP	Assembly	Awk	Bro	C	C#	C++	Clojure	CoffeeScript	ColdFusion	Common Lisp	CSS	D	Dart	Delphi	Eiffel	Elixir	Emacs Lisp	Erlang	F#	FORTRAN	Go	Groovy	Haskell	Haxe	Java	JavaScript	Julia	Kotlin	LiveScript	Logos	Lua	M	Matlab	null	Objective-C	OCaml	Pascal	Perl	PHP	PowerShell	Processing	Prolog	Puppet	Pure Data	Python	R	Racket	Ruby	Rust	Scala	Scheme	Shell	SuperCollider	Tcl	Vala	Verilog	VHDL	VimL	Visual Basic	XML	XQuery	XSLT
2012-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
2012-03	3	0	0	0	3	0	0	0	0	27	9	42	3	6	0	9	0	3	0	0	0	0	0	0	0	0	0	3	6	0	126	141	0	0	0	0	3	0	6	284205	90	0	0	15	87	0	0	3	0	0	120	3	0	225	0	6	3	30	0	0	0	3	0	24	0	0	0	0
2012-04	0	0	0	0	6	0	0	0	0	21	9	24	15	15	0	3	0	0	0	0	0	0	306	0	0	0	6	9	9	0	180	147	0	0	0	0	3	0	6	415707	81	0	0	15	51	0	0	0	9	0	108	9	3	207	0	12	0	51	0	3	0	0	0	45	0	0	0	0
2012-05	0	0	0	0	0	0	3	0	0	18	6	12	6	3	0	0	0	0	0	0	0	0	6	0	0	0	0	6	9	0	37	89	0	3	0	0	3	0	0	438720	24	0	0	12	33	0	0	0	3	0	69	6	0	219	0	9	0	15	0	0	0	0	0	45	0	0	0	0
2012-06	0	0	0	0	0	3	0	0	0	46	8	20	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	44	52	0	0	0	0	2	0	3	357042	8	0	0	30	35	0	0	0	0	0	60	0	0	141	0	10	2	20	0	0	6	0	3	12	0	0	0	0
2012-07	2	0	0	0	2	6	2	0	0	34	16	22	2	6	2	2	2	0	0	0	0	0	16	6	0	2	12	4	4	0	74	116	0	0	0	0	4	0	0	425798	38	0	0	12	94	0	0	0	8	2	154	0	0	198	0	24	0	24	0	0	2	0	0	16	0	0	0	0
2012-08	4	0	0	0	6	4	0	0	0	48	30	68	6	4	8	4	0	2	4	8	0	0	8	2	6	0	0	4	20	0	218	314	0	0	0	0	30	0	0	499452	62	4	0	42	177	0	0	0	2	0	232	0	0	450	2	24	0	68	0	0	0	0	0	50	8	0	4	0
2012-09	0	0	0	0	3	0	0	0	0	17	11	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	35	63	0	0	0	0	2	0	0	261388	22	0	0	3	35	0	0	1	0	1	27	0	0	68	0	2	0	7	0	0	0	0	0	10	0	0	0	0
2012-10	0	0	0	2	1	0	0	0	0	5	2	13	3	2	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	51	54	0	0	0	0	2	0	1	225944	37	0	0	6	28	0	0	1	0	0	22	2	0	45	0	3	0	8	0	0	0	0	0	2	0	0	0	0
2012-11	2	1	7	1	1	0	0	0	0	6	0	9	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	31	47	0	0	0	0	1	0	0	231303	34	0	0	4	32	1	0	0	1	0	14	1	0	35	0	2	0	5	0	0	0	0	0	2	0	0	0	0
2012-12	1	0	0	2	4	0	0	0	0	9	0	12	2	4	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	61	65	0	0	0	0	2	0	0	214623	44	0	0	2	29	0	0	1	1	0	29	4	2	74	1	2	0	8	0	0	0	0	0	1	0	0	0	0
2013-01	1	0	0	1	1	0	0	0	0	4	0	11	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	38	67	0	0	0	0	0	0	0	261928	49	0	0	4	24	0	0	0	0	0	11	0	0	33	0	2	0	3	0	0	0	0	0	0	0	0	0	0
2013-02	0	0	1	0	1	0	0	0	0	7	1	9	1	2	0	0	0	0	0	0	0	0	2	0	0	0	2	3	1	0	32	55	0	0	0	0	0	0	0	258984	65	0	0	6	19	0	0	0	0	0	14	4	2	31	0	1	0	1	0	0	0	0	0	1	0	0	0	0
2013-03	1	0	0	0	1	0	0	0	0	9	3	14	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	38	72	0	0	0	0	0	0	0	309913	53	0	0	6	19	0	1	0	2	0	20	3	0	50	0	1	0	11	0	0	0	0	0	1	0	0	0	0
2013-04	2	0	0	0	5	0	0	0	0	27	5	15	5	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	76	178	0	0	0	0	1	0	4	303427	66	0	0	6	36	0	6	0	1	0	43	4	0	95	0	2	0	12	1	0	0	0	0	3	0	0	0	0
2013-05	3	0	0	0	5	0	1	0	0	32	12	30	3	12	1	1	0	0	1	2	0	1	2	0	1	1	7	1	3	0	95	232	0	0	1	3	6	0	4	299825	59	0	0	15	170	0	4	0	5	0	91	9	0	166	0	5	0	13	0	0	0	0	0	3	2	3	0	0
2013-06	1	0	0	1	6	1	0	0	0	14	0	9	1	2	0	0	0	0	1	0	0	0	0	1	0	0	4	0	15	1	23	60	0	0	0	0	2	0	2	340840	35	0	0	8	32	1	1	0	0	0	22	4	0	33	0	0	1	7	0	0	0	0	0	1	0	0	0	1
2013-07	0	0	0	0	8	0	0	0	0	6	3	39	0	5	0	1	12	1	0	0	0	0	0	1	0	0	3	1	1	0	48	192	0	0	0	0	6	1	2	328572	67	0	0	10	30	1	0	0	9	0	50	4	0	80	0	4	0	12	0	0	0	0	0	1	1	0	0	0
2013-08	2	0	0	0	4	1	0	0	0	28	8	21	5	4	0	1	110	1	0	0	0	3	1	1	0	1	3	3	1	1	75	244	3	0	0	3	1	1	1	302095	113	0	0	10	85	0	3	0	0	0	70	12	1	118	0	2	0	21	0	0	0	0	0	12	0	0	0	0
2013-09	0	0	0	2	6	0	1	0	0	22	18	28	3	7	0	1	103	0	1	0	0	0	2	0	0	0	4	0	3	0	104	206	1	0	0	0	1	0	3	303956	103	1	0	13	42	0	4	0	1	0	97	4	2	111	1	9	0	10	2	0	1	0	0	14	0	0	0	0
2013-10	3	0	0	1	16	0	1	1	1	57	15	58	3	10	0	0	318	0	1	0	1	1	0	7	1	0	12	4	3	2	116	236	2	0	0	0	1	0	0	375492	97	1	2	14	140	0	16	1	2	0	113	11	0	219	1	3	0	26	0	0	0	0	0	1	2	0	0	1
2013-11	1	0	0	0	2	0	0	0	0	8	1	2	2	4	0	0	97	0	1	0	0	1	0	0	0	0	1	1	0	0	27	91	0	0	0	0	0	0	1	120193	17	0	0	4	17	0	2	0	0	0	12	0	0	32	0	2	0	4	1	0	0	0	0	15	0	0	0	0
